id,sku,skuRemake,skuNumeric,gender,msrp
534,F01901-Tan/D.Brown,"F01901,Tan/D.Brown",01901,MEN,
1164,F11223-D.Brown,"F11223,D.Brown",11223,MEN,
968,F14207-Tan,"F14207,Tan",14207,MEN,
1218,F15104-Tan,"F15104,Tan",15104,MEN,
1220,F15203-Tan,"F15203,Tan",15203,MEN,
1222,F15205-Maroon,"F15205,Maroon",15205,MEN,
1229,F15226-Brown,"F15226,Brown",15226,MEN,
777,F15226-Maroon,"F15226,Maroon",15226,MEN,
1230,F15226-R.Tan,"F15226,R.Tan",15226,MEN,
1231,F15226-Tan/D.Coffee,"F15226,Tan/D.Coffee",15226,MEN,
888,F15258-Maroon,"F15258,Maroon",15258,MEN,
901,F15258-Tan,"F15258,Tan",15258,MEN,
1249,F15601-Tan,"F15601,Tan",15601,MEN,
1252,F15610-Tan,"F15610,Tan",15610,MEN,
971,F15610-Tan/Tan,"F15610,Tan/Tan",15610,MEN,
1273,F20202-Tan,"F20202,Tan",20202,MEN,
1274,F20203-Tan,"F20203,Tan",20203,MEN,
1288,F31201-Tan,"F31201,Tan",31201,MEN,
1292,F31203-Tan,"F31203,Tan",31203,MEN,
1297,F31252-Brown,"F31252,Brown",31252,MEN,
1302,F31653-Tan,"F31653,Tan",31653,MEN,
344,F35303-Tan,"F35303,Tan",35303,MEN,
461,F41203-Tan,"F41203,Tan",41203,MEN,
1314,F41401-Maroon,"F41401,Maroon",41401,MEN,
32,F45206ST-Tan,"F45206ST,Tan",45206ST,MEN,
657,F45925-Maroon/D.Brown,"F45925,Maroon/D.Brown",45925ST,MEN,
1351,F50302-Tan,"F50302,Tan",50302,MEN,
1364,F54219-Black,"F54219,Black",54219,MEN,
1365,F54219-Tan,"F54219,Tan",54219,MEN,
1380,F56101-Tan,"F56101,Tan",56101,MEN,
368,F56101-Tan/Tan,"F56101,Tan/Tan",56101,MEN,
1382,F56102-Tan,"F56102,Tan",56102,MEN,
1385,F56110-Tan,"F56110,Tan",56110,MEN,
946,F56113-Tan,"F56113,Tan",56113,MEN,
367,F56601-Tan,"F56601,Tan",56601,MEN,
1401,F59202-Tan/D.Brown,"F59202,Tan/D.Brown",59202,MEN,
1411,F59206-Tan,"F59206,Tan",59206,MEN,
1431,F59302-Tan,"F59302,Tan",59302,MEN,
660,F59401-Tan,"F59401,Tan",59401,MEN,
1434,F59501-Maroon,"F59501,Maroon",59501,MEN,
1477,F64121-D.Brown,"F64121,D.Brown",64121,MEN,
1112,F64123-Tan/D.Brown,"F64123,Tan/D.Brown",64123,MEN,
1488,F64133-Tan,"F64133,Tan",64133,MEN,
705,F64138-Tan/D.Brown,"F64138,Tan/D.Brown",64138,MEN,
881,F64140-Tan,"F64140,Tan",64140,MEN,
1498,F64219-Tan/D.Brown,"F64219,Tan/D.Brown",64219,MEN,
1499,F64220-Tan,"F64220,Tan",64220,MEN,
1505,F64501-Maroon,"F64501,Maroon",64501,MEN,
1507,F64601-Tan,"F64601,Tan",64601,MEN,
656,F64602-Tan,"F64602,Tan",64602,MEN,
1015,F64605-Tan/TanBtk,"F64605,Tan/TanBtk",64605,MEN,
1526,F65103-Tan,"F65103,Tan",65103,MEN,
1527,F65103-Tan/Brown,"F65103,Tan/Brown",65103,MEN,
658,F65104-Tan/D.Brown,"F65104,Tan/D.Brown",65104,MEN,
1115,F65108-Tan,"F65108,Tan",65108,MEN,
1051,F65112-Brown,"F65112,Brown",65112,MEN,
1025,F65112-Tan/D.Brown,"F65112,Tan/D.Brown",65112,MEN,
1543,F65116-Tan,"F65116,Tan",65116,MEN,
